ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),height(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%),Number of individuals
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,1,Linum suffruticosum,2.5,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,1,Helianthemum asperum,5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,1,Matthiola fruticulosa,2.5,6
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,1,Stipa barbata,7.5,6
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,1,Coronilla minima,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,40,14,6283.2,3,1,Linum suffruticosum,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,40,14,6283.2,3,1,Teucrium gnaphalodes,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,40,14,6283.2,3,1,Stipa barbata,6,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,40,14,6283.2,3,1,Plantago albicans,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,3,1,Plantago albicans,20,19
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,3,1,Stipa barbata,2.5,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,3,1,Linum suffruticosum,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,3,1,Helianthemum rotundifolium,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,3,1,Helianthemum hirtum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,34,10,5340.72,4,1,Linum suffruticosum,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,34,10,5340.72,4,1,Stipa barbata,2,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,34,10,5340.72,4,1,Plantago albicans,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,4,1,Plantago albicans,2,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,4,1,Helianthemum asperum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,36,10,5654.88,5,1,Helianthemum hirtum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,36,10,5654.88,5,1,Linum suffruticosum,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,36,10,5654.88,5,1,Stipa barbata,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,5,1,Matthiola fruticulosa,2.5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,5,1,Plantago albicans,11,10
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,5,1,Linum suffruticosum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,5,1,Stipa barbata,3,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,36,6.5,5654.88,6,1,Matthiola fruticulosa,3,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,36,6.5,5654.88,6,1,Astragalus incanus,6,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,6,1,Helianthemum hirtum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,6,1,Plantago albicans,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,6,1,Helianthemum squamatum,3,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,6,1,Stipa barbata,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,6,1,Matthiola fruticulosa,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,43,15,6754.44,7,1,Stipa barbata,18,8
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,7,1,Helianthemum squamatum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,7,1,Stipa barbata,13,17
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,7,1,Matthiola fruticulosa,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,7,1,Plantago albicans,2.2,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,7,1,Linum suffruticosum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,7,1,Helianthemum hirtum,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,7,1,Helianthemum asperum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,30,28,13,2638.944,8,1,Matthiola fruticulosa,4,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,30,28,13,2638.944,8,1,Stipa barbata,8,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,30,28,13,2638.944,8,1,Plantago albicans,6,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,30,28,13,2638.944,8,1,Helianthemum hirtum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,8,1,Linum suffruticosum,1,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,8,1,Helianthemum hirtum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,8,1,Plantago albicans,6,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,8,1,Stipa barbata,10,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,8,1,Matthiola fruticulosa,2,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,44,44,12,6082.1376,9,1,Plantago albicans,2.5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,9,1,Plantago albicans,2.5,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,9,1,Teucrium gnaphalodes,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,9,1,Linum suffruticosum,1,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,36,25,8,2827.44,10,1,Stipa barbata,10,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,36,25,8,2827.44,10,1,Teucrium gnaphalodes,2.5,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,36,25,8,2827.44,10,1,Astragalus incanus,5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,36,25,8,2827.44,10,1,Plantago albicans,2.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,10,1,Linum suffruticosum,2.5,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,10,1,Teucrium gnaphalodes,2.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,10,1,Matthiola fruticulosa,2.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,10,1,Stipa barbata,7.5,6
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,10,1,Helianthemum hirtum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,10,1,Plantago albicans,5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,23,20,13,1445.136,11,1,Stipa barbata,7,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,23,20,13,1445.136,11,1,Plantago albicans,7,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,11,1,Stipa barbata,20,12
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,11,1,Matthiola fruticulosa,3,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,11,1,Linum suffruticosum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,11,1,Plantago albicans,3,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,59,20,14,3707.088,12,1,Linum suffruticosum,2.5,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,59,20,14,3707.088,12,1,Plantago albicans,7.5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,59,20,14,3707.088,12,1,Stipa barbata,7.5,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,12,1,Plantago albicans,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,19,31,12,1850.4024,13,1,Stipa barbata,10,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,13,1,Stipa barbata,10,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,13,1,Plantago albicans,5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,13,1,Linum suffruticosum,3,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,13,1,Matthiola fruticulosa,3,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,33.5,35.5,11,3736.1478,14,1,Stipa barbata,5,6
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,33.5,35.5,11,3736.1478,14,1,Plantago albicans,4,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,14,1,Plantago albicans,5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,14,1,Stipa tenacissima,5,6
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,14,1,Helianthemum hirtum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,54,66,14,11196.6624,15,100(1),Plantago albicans,5,7
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,54,66,14,11196.6624,15,100(1),Stipa barbata,2,10
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,54,66,14,11196.6624,15,100(1),Stipa tenacissima,0.1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,54,66,14,11196.6624,15,100(1),Astragalus incanus,2,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,15,100(1),Plantago albicans,15,23
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,15,100(1),Teucrium gnaphalodes,2,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,15,100(1),Linum suffruticosum,0.5,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,15,100(1),Matthiola fruticulosa,0.25,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,50,15,7854,16,100(1),Plantago albicans,3,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,50,15,7854,16,100(1),Stipa barbata,5,11
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,50,15,7854,16,100(1),Linum suffruticosum,2,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,16,100(1),Plantago albicans,0.25,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,16,100(1),Erodyum,1.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,25,25,15,1963.5,17,1,Plantago albicans,10,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,25,25,15,1963.5,17,1,Teucrium gnaphalodes,5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,25,25,15,1963.5,17,1,Linum suffruticosum,0.5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,25,25,15,1963.5,17,1,Stipa tenacissima,12,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,17,1,Plantago albicans,2.5,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,36,33,12,3732.2208,18,1,Teucrium gnaphalodes,7,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,36,33,12,3732.2208,18,1,Plantago albicans,2,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,36,33,12,3732.2208,18,1,Stipa barbata,20,10
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,36,33,12,3732.2208,18,1,Linum suffruticosum,0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,18,1,Stipa tenacissima,3,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,18,1,Plantago albicans,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,18,1,Teucrium gnaphalodes,0.25,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,18,1,Matthiola fruticulosa,0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,18,1,Helianthemum asperum,0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,22,20,14,1382.304,19,1,Plantago albicans,1.5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,22,20,14,1382.304,19,1,Teucrium gnaphalodes,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,22,20,14,1382.304,19,1,Stipa tenacissima,0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,22,20,14,1382.304,19,1,Astragalus incanus,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,19,1,Plantago albicans,1,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,19,1,Matthiola fruticulosa,0.25,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,19,1,Stipa tenacissima,0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,30,29,12,2733.192,20,1,Plantago albicans,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,30,29,12,2733.192,20,1,Stipa tenacissima,0.5,6
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,20,1,Stipa tenacissima,7,11
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,20,1,Matthiola fruticulosa,2,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,20,1,Linum suffruticosum,0.1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,40,13,6283.2,21,1,Linum suffruticosum,0.2,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,40,13,6283.2,21,1,Stipa parviflora,0.1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,40,13,6283.2,21,1,Matthiola fruticulosa,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,50,40,13,6283.2,21,1,Helianthemum hirtum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,21,1,Plantago albicans,4,6
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,21,1,Stipa barbata,6,7
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,21,1,Linum suffruticosum,1,6
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,21,1,Matthiola fruticulosa,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,24,28,13,2111.1552,22,1,Plantago albicans,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,22,1,Teucrium gnaphalodes,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,22,1,Plantago albicans,4,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,22,1,Matthiola fruticulosa,0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,40,45,14,5654.88,23,1,Plantago albicans,5,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,40,45,14,5654.88,23,1,Teucrium gnaphalodes,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,40,45,14,5654.88,23,1,Stipa barbata,3,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,40,45,14,5654.88,23,1,Linum suffruticosum,0.1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,23,1,Plantago albicans,9,24
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,23,1,Astragalus incanus,4,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,23,1,Linum suffruticosum,0.1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,33,20,10,2073.456,24,1,Matthiola fruticulosa,0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,33,20,10,2073.456,24,1,Stipa tenacissima,1,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,33,20,10,2073.456,24,1,Plantago albicans,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,24,1,Phlomis lychnitis,3,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,24,1,Plantago albicans,0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,24,1,Stipa tenacissima,1,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,38,28,12,3342.6624,25,1,Phlomis lychnitis,0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,38,28,12,3342.6624,25,1,Plantago albicans,1,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,38,28,12,3342.6624,25,1,Astragalus incanus,0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,38,28,12,3342.6624,25,1,Stipa tenacissima,0.2,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,25,1,Plantago albicans,3,4
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,25,1,Matthiola fruticulosa,0.5,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,25,1,Stipa tenacissima,0.25,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,25,1,"Helianthemum ""small""",0.5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,100,130,31416,1,100(1),Phlomis lychnitis,20,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,100,130,31416,1,100(1),Teucrium capitatum,30,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,100,130,31416,1,100(1),Helianthemum asperum,5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,100,130,31416,1,100(1),Plantago albicans,2,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,1,100(1),Stipa tenacissima,15,8
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,1,100(1),Helianthemum asperum,10,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,1,100(1),Teucrium gnaphalodes,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,1,100(1),Plantago albicans,10,11
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,110,130,34557.6,2,100(1),Helianthemum,20,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,110,130,34557.6,2,100(1),Teucrium capitatum,20,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,100(1),Stipa tenacissima,5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,100(1),Plantago albicans,10,20
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,100(1),Matthiola fruticulosa,5,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,100(1),Teucrium gnaphalodes,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,80,70,54,17592.96,3,100(1),Teucrium capitatum,30,10
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,80,70,54,17592.96,3,100(1),Phlomis lychnitis,10,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,3,100(1),Plantago albicans,5,30
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,3,100(1),Teucrium capitatum,5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,3,100(1),Matthiola fruticulosa,2,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,100,110,31416,4,100(1),Teucrium capitatum,30,5
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,100,110,31416,4,100(1),Plantago albicans,5,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,4,100(1),Plantago albicans,20,50
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,4,100(1),Matthiola fruticulosa,2,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,4,100(1),Teucrium capitatum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,100,190,31416,5,100(1),Astragalus incanus,10,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,100,190,31416,5,100(1),Helianthemum asperum,2,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Retama,100,100,190,31416,5,100(1),Teucrium capitatum,10,4
