ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Number of individuals,Cover (%)
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,10,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,46,49,1769.39,11,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,11,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,37,34,987.53,12,,Poa bulbosa,1,4
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,12,,Iris songarica,1,14
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,21,18,296.73,13,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,13,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,32,37,929.44,14,,Poa bulbosa,1,71
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,14,,Poa bulbosa,1,34
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,46,43,1552.73,15,,Iris songarica,1,7
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,15,,Eremurus stenophyllus,2,28
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,51,53,2121.855,16,,Poa bulbosa,1,3
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,16,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,54,52,2204.28,17,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,17,,Poa bulbosa,5,150
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,61,61,2920.985,18,,Eremurus stenophyllus,2,31
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,18,,Poa bulbosa,5,81
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,48,47,1770.96,19,,Poa bulbosa,1,6
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,19,,Eremurus stenophyllus,1,30
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,52,52,2122.64,20,,Poa bulbosa,3,47
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,20,,Eremurus stenophyllus,4,56
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,20,,Poa bulbosa,7,85
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,29,29,660.185,21,,Poa bulbosa,3,95
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,21,,Poa bulbosa,7,67
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,40,46,1444.4,22,,Poa bulbosa,2,12
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,22,,Poa bulbosa,12,89
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,50,48,1884,23,,Poa bulbosa,4,30
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,50,48,,23,,Eremurus stenophyllus,1,13
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,23,,Eremurus stenophyllus,1,24
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,31,34,827.39,24,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,24,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,51,44,1761.54,25,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,25,,Poa bulbosa,5,14
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,66,70,3626.7,1,,Poa bulbosa,1,3
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,1,,Poa bulbosa,6,31
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,1,,Elymus repens,1,2
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,54,37,1568.43,2,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,2,,Hordeum bulbosum,1,2
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,2,,Eremurus stenophyllus,3,9
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,51,31,1241.085,3,,Poa bulbosa,1,13
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,51,31,1241.085,3,,Stachys turcomanica,1,2
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,3,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,34,31,827.39,4,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,4,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,47,44,1623.38,5,,Poa bulbosa,2,10
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,5,,Poa bulbosa,1,6
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,55,54,2331.45,6,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,6,,Phlomis cancellata ,2,104
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,75,76,4474.5,7,,Poa bulbosa,4,24
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,7,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,62,54,2628.18,8,,Eremurus stenophyllus,1,7
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,8,,Iris songarica,2,2
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,39,33,1010.295,9,,Poa bulbosa,1,6
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,9,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,24,21,395.64,10,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,10,,Poa bulbosa,2,36
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,10,,Iris songarica,1,9
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,41,40,1287.4,11,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,11,,Poa bulbosa,4,10
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,63,61,3016.755,12,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,12,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,60,52,2449.2,13,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,13,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,36,40,1130.4,14,,Poa bulbosa,1,14
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,14,,Verbascum cheiranthifolium,1,4
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,26,22,449.02,15,,Poa bulbosa,2,49
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,26,22,449.02,15,,Eremurus stenophyllus,1,14
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,15,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,60,70,3297,16,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,16,,Verbascum cheiranthifolium,1,37
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,39,21,642.915,17,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,17,,Poa bulbosa,1,10
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,37,31,900.395,18,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,18,,Elymus repens ,1,21
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,40,52,1632.8,19,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,19,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,72,54,3052.08,20,,Eremurus stenophyllus,1,3
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,20,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,70,56,3077.2,21,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,21,,Allium xiphopetalum sp.,1,2
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,87,81,5531.895,22,,Poa bulbosa,1,2
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,87,81,5531.895,22,,Eremurus stenophyllus,2,4
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,87,81,5531.895,22,,Tulipa sp.,1,0
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,22,,Stipa arabica,2,18
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,22,,Eremurus stenophyllus,5,14
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,44,32,1105.28,23,,Poa bulbosa,1,6
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,23,,Poa bulbosa,1,12
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,42,39,1285.83,24,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,24,,Poa bulbosa,1,4
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Artemisia kopetdaghensis,82,64,4119.68,25,,Poa bulbosa,6,6
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,25,,Phlomis cancellata ,1,15
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,25,,Poa bulbosa,5,20
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,96,86,6480.96,1,,Euphorbia Boissieriana ,1,3
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,1,,Iris songarica,2,4
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,1,,Euphorbia Boissieriana ,3,7
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,1,,Poa bulbosa,1,1
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,1,,Elymus repens,4,1
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,52,52,2122.64,2,,Poa bulbosa,4,6
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,2,,Elymus repens,3,23
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,2,,Poa bulbosa,3,5
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,138,133,14407.89,3,,Artemisia kopetdaghensis,1,4
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,138,133,14407.89,3,,Eremurus stenophyllus,1,3
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,138,133,14407.89,3,,Astragalus chryostachys,1,4
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,3,,Poa bulbosa,3,1
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,3,,Iris songarica,3,4
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,3,,Eremurus stenophyllus,7,6
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,92,86,6210.92,4,,Elymus repens,17,48
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,4,,Elymus repens,46,753
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,4,,Verbascum cheiranthifolium,1,8
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,4,,Poa bulbosa,5,6
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,102,110,8807.7,5,,Elymus repens,5,43
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,102,110,8807.7,5,,Poa bulbosa,1,7
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,5,,Eremurus stenophyllus,1,4
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,5,,Elymus repens,2,13
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,34,45,1201.05,6,,Eremurus stenophyllus,2,14
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,34,45,1201.05,6,,Poa bulbosa,1,9
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,6,,Elymus repens,6,10
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,6,,Poa bulbosa,2,27
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,6,,Eremurus stenophyllus,3,24
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,6,,Phlomis cancellata,1,5
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,52,62,2530.84,7,,Elymus repens,4,7
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,11,5,43.175,7,,Poa bulbosa,4,400
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,7,,Elymus repens,13,1182
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,7,,Poa bulbosa,4,1229
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,21,24,395.64,8,,Poa bulbosa,1,20
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,8,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,31,22,535.37,9,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,9,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,81,70,4450.95,10,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,10,,Eremurus stenophyllus,1,48
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,64,51,2562.24,11,,Eremurus stenophyllus,2,9
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,11,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,82,69,4441.53,12,,Artemisia kopetdaghensis,1,20
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,12,,Verbascum cheiranthifolium,1,14
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,109,90,7700.85,13,,Elymus repens,11,139
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,109,90,7700.85,13,,Verbascum cheiranthifolium,1,5
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,109,90,7700.85,13,,Verbascum cheiranthifolium,2,15
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,109,90,7700.85,13,,Acantholimon raddeanum,1,2
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,13,,Galium humifusum,4,38
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,42,27,890.19,14,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,14,,Eremurus stenophyllus,1,10
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,14,,Iris songarica ,1,8
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,25,33,647.625,15,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,15,,Iris songarica ,1,25
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,45,47,1660.275,16,,Poa bulbosa,2,23
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,16,,Poa bulbosa,2,12
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,155,163,19833.025,17,,Poa bulbosa,12,10
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,155,163,19833.025,17,,Colchicum kotschyi,1,0
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,155,163,19833.025,17,,Galium humifusum,1,2
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,17,,Poa bulbosa,5,6
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,17,,Iris songarica ,1,0
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,78,41,2510.43,18,,Eremurus stenophyllus,1,18
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,18,,Poa bulbosa,1,10
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,78,80,4898.4,19,,Acantholimon raddeanum,1,18
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,78,80,4898.4,19,,Galium humifusum,1,1
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,78,80,4898.4,19,,Poa bulbosa,4,37
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,78,80,4898.4,19,,Eremurus stenophyllus,1,4
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,19,,Hordeum bolbussum,1,1
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,19,,Eremurus stenophyllus,3,37
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,57,48,2147.76,20,,Eremurus stenophyllus,1,9
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,8-Jul-16,1,bare,,,,20,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,161,155,19589.675,21,,Verbascum cheiranthifolium,2,12
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,21,,Poa bulbosa,3,3
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,126,135,13352.85,22,,Acantholimon raddeanum,1,6
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,126,135,13352.85,22,,Poa bulbosa,4,0
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,126,135,13352.85,22,,Peteropyrum aucheri,3,22
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,22,,Poa bulbosa,14,20
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,22,,Eremurus stenophyllus,2,7
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,46,56,2022.16,23,,Eremurus stenophyllus,1,10
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,23,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Astragalus chrysostachys,72,65,3673.8,24,,Peteropyrum aucheri,1,83
