"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Number.of.replicate";"ID_Microsite";"Species.within.quadrat";"Number.of.individuals";"Cover";"microsite_rep";"Microsite";"GRAZ";"ARIDITY.v3"
40;"Australia";"Eldridge, David";"Fowlers";13;1;4;"Maireana pyramidata";"Lotus cruentus";2;1;"13-1-Maireana pyramidata-4";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;4;"Maireana pyramidata";"Sclerolaena divaricata";1;2;"13-1-Maireana pyramidata-4";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;4;"Bare";"Sclerolaena ventricosa";1;0,5;"13-1-Bare-4";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;4;"Bare";"Lotus cruentus";2;0,5;"13-1-Bare-4";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;4;"Bare";"Sclerolaena brachyptera";1;0,5;"13-1-Bare-4";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;5;"Maireana pyramidata";"Sclerolaena ventricosa";1;0,5;"13-1-Maireana pyramidata-5";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;5;"Maireana pyramidata";"Maireana turbinata";1;1;"13-1-Maireana pyramidata-5";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;5;"Bare";"Sclerolaena brachyptera";18;5;"13-1-Bare-5";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;5;"Bare";"Lotus cruentus";5;2;"13-1-Bare-5";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;6;"Maireana pyramidata";"Sclerolaena brachyptera";8;5;"13-1-Maireana pyramidata-6";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;6;"Maireana pyramidata";"Lotus cruentus";5;1;"13-1-Maireana pyramidata-6";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;6;"Bare";"Sida fibulifera";14;1;"13-1-Bare-6";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;6;"Bare";"Lotus cruentus";5;1;"13-1-Bare-6";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;6;"Bare";"Sclerolaena brachyptera";5;5;"13-1-Bare-6";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;7;"Maireana pyramidata";"Minuria cunninghamii";1;2;"13-1-Maireana pyramidata-7";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;7;"Maireana pyramidata";"Lotus cruentus";6;1;"13-1-Maireana pyramidata-7";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;7;"Maireana pyramidata";"Sclerolaena lanicuspis";1;1;"13-1-Maireana pyramidata-7";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;7;"Bare";"Lotus cruentus";5;1;"13-1-Bare-7";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;7;"Bare";"Sclerolaena brachyptera";3;1;"13-1-Bare-7";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;8;"Maireana pyramidata";"Maireana turbinata";2;2;"13-1-Maireana pyramidata-8";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;8;"Maireana pyramidata";"Lotus cruentus";5;2;"13-1-Maireana pyramidata-8";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;8;"Maireana pyramidata";"Sclerolaena divaricata";2;10;"13-1-Maireana pyramidata-8";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;8;"Bare";"Sclerolaena brachyptera";1;0,5;"13-1-Bare-8";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;9;"Maireana pyramidata";"Maireana turbinata";18;3;"13-1-Maireana pyramidata-9";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;9;"Maireana pyramidata";"Lotus cruentus";3;1;"13-1-Maireana pyramidata-9";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;9;"Maireana pyramidata";"Sida corrugata";1;0,5;"13-1-Maireana pyramidata-9";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;9;"Bare";"Sclerolaena ventricosa";2;0,5;"13-1-Bare-9";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;10;"Maireana pyramidata";"Lotus cruentus";6;3;"13-1-Maireana pyramidata-10";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;10;"Bare";"Lotus cruentus";1;0,5;"13-1-Bare-10";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;10;"Bare";"Sclerolaena ventricosa";2;1;"13-1-Bare-10";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;11;"Maireana pyramidata";"Sclerolaena ventricosa";1;1;"13-1-Maireana pyramidata-11";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;11;"Bare";"Lotus cruentus";3;0,5;"13-1-Bare-11";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;11;"Bare";"Sida fibulifera";1;1;"13-1-Bare-11";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;12;"Maireana pyramidata";"Maireana turbinata";8;3;"13-1-Maireana pyramidata-12";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;12;"Maireana pyramidata";"Minuria cunninghamii";3;25;"13-1-Maireana pyramidata-12";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;12;"Maireana pyramidata";"Lotus cruentus";4;0,5;"13-1-Maireana pyramidata-12";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;12;"Maireana pyramidata";"Sclerolaena divaricata";2;10;"13-1-Maireana pyramidata-12";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;12;"Maireana pyramidata";"Sclerolaena brachyptera";1;1;"13-1-Maireana pyramidata-12";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;12;"Bare";"Lotus cruentus";7;1;"13-1-Bare-12";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;12;"Bare";"Sida fibulifera";1;2;"13-1-Bare-12";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;13;"Maireana pyramidata";"Atriplex vesicaria";1;35;"13-1-Maireana pyramidata-13";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;13;"Maireana pyramidata";"Minuria cunninghamii";2;20;"13-1-Maireana pyramidata-13";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;13;"Maireana pyramidata";"Sclerolaena brachyptera";2;1;"13-1-Maireana pyramidata-13";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;13;"Maireana pyramidata";"Lotus cruentus";3;0,5;"13-1-Maireana pyramidata-13";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;13;"Bare";"Lotus cruentus";7;1;"13-1-Bare-13";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;13;"Bare";"Sclerolaena brachyptera";6;2;"13-1-Bare-13";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;14;"Maireana pyramidata";"Minuria cunninghamii";1;45;"13-1-Maireana pyramidata-14";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;14;"Maireana pyramidata";"Lotus cruentus";5;1;"13-1-Maireana pyramidata-14";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;14;"Bare";"Sclerolaena brachyptera";4;1;"13-1-Bare-14";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;14;"Bare";"Lotus cruentus";1;0,5;"13-1-Bare-14";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;15;"Maireana pyramidata";"Atriplex vesicaria";1;15;"13-1-Maireana pyramidata-15";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;15;"Maireana pyramidata";"Lotus cruentus";5;1;"13-1-Maireana pyramidata-15";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;15;"Maireana pyramidata";"Sida fibulifera";1;0,5;"13-1-Maireana pyramidata-15";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;15;"Maireana pyramidata";"Minuria cunninghamii";1;5;"13-1-Maireana pyramidata-15";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;15;"Bare";"Sclerolaena brachyptera";10;3;"13-1-Bare-15";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;15;"Bare";"Lotus cruentus";4;1;"13-1-Bare-15";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;16;"Maireana pyramidata";"Maireana pyramidata";14;5;"13-1-Maireana pyramidata-16";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;16;"Maireana pyramidata";"Lotus cruentus";3;1;"13-1-Maireana pyramidata-16";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;16;"Bare";"Lotus cruentus";3;0,5;"13-1-Bare-16";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;16;"Bare";"Sclerolaena brachyptera";2;1;"13-1-Bare-16";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;17;"Maireana pyramidata";"Minuria cunninghamii";4;35;"13-1-Maireana pyramidata-17";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;17;"Maireana pyramidata";"Lotus cruentus";3;1;"13-1-Maireana pyramidata-17";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;17;"Maireana pyramidata";"Sclerolaena brachyptera";3;1;"13-1-Maireana pyramidata-17";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;17;"Bare";"Lotus cruentus";3;2;"13-1-Bare-17";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;18;"Maireana pyramidata";"Minuria cunninghamii";3;45;"13-1-Maireana pyramidata-18";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;18;"Maireana pyramidata";"Maireana turbinata";5;5;"13-1-Maireana pyramidata-18";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;18;"Maireana pyramidata";"Sclerolaena brachyptera";3;1;"13-1-Maireana pyramidata-18";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;18;"Maireana pyramidata";"Lotus cruentus";5;2;"13-1-Maireana pyramidata-18";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;18;"Bare";"Sclerolaena ventricosa";4;5;"13-1-Bare-18";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;18;"Bare";"Lotus cruentus";5;0,5;"13-1-Bare-18";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;18;"Bare";"Sclerolaena brachyptera";3;2;"13-1-Bare-18";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;19;"Maireana pyramidata";"Minuria cunninghamii";2;15;"13-1-Maireana pyramidata-19";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;19;"Maireana pyramidata";"Lotus cruentus";5;1;"13-1-Maireana pyramidata-19";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;19;"Maireana pyramidata";"Sclerolaena ventricosa";5;2;"13-1-Maireana pyramidata-19";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;19;"Maireana pyramidata";"Maireana turbinata";3;2;"13-1-Maireana pyramidata-19";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;19;"Bare";"Sida fibulifera";2;0,5;"13-1-Bare-19";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;19;"Bare";"Eragrostis dielsii";1;1;"13-1-Bare-19";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;20;"Maireana pyramidata";"Minuria cunninghamii";3;20;"13-1-Maireana pyramidata-20";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;20;"Maireana pyramidata";"Lotus cruentus";5;2;"13-1-Maireana pyramidata-20";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;20;"Maireana pyramidata";"Sclerolaena brachyptera";2;1;"13-1-Maireana pyramidata-20";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;20;"Bare";"Sclerolaena divaricata";3;10;"13-1-Bare-20";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;20;"Bare";"Lotus cruentus";3;1;"13-1-Bare-20";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;20;"Bare";"Sclerolaena brachyptera";2;2;"13-1-Bare-20";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;21;"Maireana pyramidata";"Minuria cunninghamii";3;5;"13-1-Maireana pyramidata-21";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;21;"Maireana pyramidata";"Lotus cruentus";5;1;"13-1-Maireana pyramidata-21";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;21;"Bare";"Sclerolaena brachyptera";7;5;"13-1-Bare-21";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;21;"Bare";"Sclerolaena divaricata";1;1;"13-1-Bare-21";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;22;"Maireana pyramidata";"Minuria leptophylla";5;25;"13-1-Maireana pyramidata-22";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;22;"Maireana pyramidata";"Maireana pyramidata";2;15;"13-1-Maireana pyramidata-22";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;22;"Maireana pyramidata";"Sclerolaena brachyptera";10;5;"13-1-Maireana pyramidata-22";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;22;"Maireana pyramidata";"Maireana turbinata";10;3;"13-1-Maireana pyramidata-22";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;22;"Bare";"Lotus cruentus";2;1;"13-1-Bare-22";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;22;"Bare";"Sclerolaena ventricosa";2;3;"13-1-Bare-22";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;22;"Bare";"Sclerolaena brachyptera";12;5;"13-1-Bare-22";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;23;"Maireana pyramidata";"Minuria leptophylla";2;10;"13-1-Maireana pyramidata-23";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;23;"Maireana pyramidata";"Lotus cruentus";7;2;"13-1-Maireana pyramidata-23";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;23;"Bare";NA;0;0;"13-1-Bare-23";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;24;"Maireana pyramidata";"Minuria leptophylla";2;10;"13-1-Maireana pyramidata-24";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;24;"Maireana pyramidata";"Lotus cruentus";3;1;"13-1-Maireana pyramidata-24";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;24;"Bare";"Lotus cruentus";2;0,5;"13-1-Bare-24";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;24;"Bare";"Sclerolaena ventricosa";5;5;"13-1-Bare-24";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;25;"Maireana pyramidata";"Lotus cruentus";10;2;"13-1-Maireana pyramidata-25";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;25;"Maireana pyramidata";"Sida fibulifera";1;0,5;"13-1-Maireana pyramidata-25";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;25;"Maireana pyramidata";"Sclerolaena brachyptera";3;2;"13-1-Maireana pyramidata-25";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;25;"Maireana pyramidata";"Sclerolaena ventricosa";5;3;"13-1-Maireana pyramidata-25";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;25;"Maireana pyramidata";"Maireana turbinata";3;0,5;"13-1-Maireana pyramidata-25";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;25;"Bare";"Lotus cruentus";8;2;"13-1-Bare-25";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;25;"Bare";"Sclerolaena brachyptera";6;2;"13-1-Bare-25";1;3;0,9011
41;"Australia";"Eldridge, David";"Fowlers";13;2;1;"Maireana pyramidata";"Austrostipa scabra";1;5;"13-2-Maireana pyramidata-1";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;1;"Maireana pyramidata";"Sclerolaena patenticuspis";1;0,5;"13-2-Maireana pyramidata-1";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;1;"Bare";"Enneapogon avenaceus";2;5;"13-2-Bare-1";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;2;"Maireana pyramidata";"Austrostipa scabra";1;0,5;"13-2-Maireana pyramidata-2";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;2;"Maireana pyramidata";"Sclerolaena obliquicuspis";3;1;"13-2-Maireana pyramidata-2";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;2;"Bare";"Austrostipa scabra";1;0,5;"13-2-Bare-2";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;2;"Bare";"Enneapogon avenaceus";1;0,5;"13-2-Bare-2";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;3;"Maireana pyramidata";"Austrostipa scabra";8;1;"13-2-Maireana pyramidata-3";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;3;"Maireana pyramidata";"Sclerolaena obliquicuspis";1;0,5;"13-2-Maireana pyramidata-3";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;3;"Bare";"Sclerolaena obliquicuspis";2;1;"13-2-Bare-3";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;3;"Bare";"Austrostipa scabra";2;0,5;"13-2-Bare-3";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;4;"Maireana pyramidata";"Sclerolaena obliquicuspis";3;2;"13-2-Maireana pyramidata-4";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;4;"Maireana pyramidata";"Austrostipa scabra";2;0,5;"13-2-Maireana pyramidata-4";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;4;"Bare";"Austrostipa scabra";3;1;"13-2-Bare-4";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;5;"Maireana pyramidata";"Sclerolaena patenticuspis";4;2;"13-2-Maireana pyramidata-5";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;5;"Maireana pyramidata";"Austrostipa scabra";5;1;"13-2-Maireana pyramidata-5";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;5;"Bare";"Austrostipa scabra";5;1;"13-2-Bare-5";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;5;"Bare";"Enneapogon avenaceus";16;3;"13-2-Bare-5";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;6;"Maireana pyramidata";"Sclerolaena obliquicuspis";4;3;"13-2-Maireana pyramidata-6";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;6;"Maireana pyramidata";"Austrostipa scabra";4;1;"13-2-Maireana pyramidata-6";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;6;"Bare";"Sclerolaena patenticuspis";2;3;"13-2-Bare-6";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;6;"Bare";"Austrostipa scabra";5;7;"13-2-Bare-6";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;7;"Maireana pyramidata";"Sclerolaena patenticuspis";1;0,5;"13-2-Maireana pyramidata-7";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;7;"Maireana pyramidata";"Sclerolaena obliquicuspis";3;2;"13-2-Maireana pyramidata-7";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;7;"Maireana pyramidata";"Austrostipa scabra";2;0,5;"13-2-Maireana pyramidata-7";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;7;"Bare";"Sclerolaena obliquicuspis";1;1;"13-2-Bare-7";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;7;"Bare";"Enneapogon avenaceus";5;7;"13-2-Bare-7";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;7;"Bare";"Austrostipa scabra";9;3;"13-2-Bare-7";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;8;"Maireana pyramidata";"Solanum quadriloculatum";7;20;"13-2-Maireana pyramidata-8";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;8;"Maireana pyramidata";"Sclerolaena obliquicuspis";2;5;"13-2-Maireana pyramidata-8";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;8;"Maireana pyramidata";"Austrostipa scabra";1;1;"13-2-Maireana pyramidata-8";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;8;"Bare";"Austrostipa scabra";7;2;"13-2-Bare-8";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;8;"Bare";"Sclerolaena patenticuspis";4;1;"13-2-Bare-8";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;9;"Maireana pyramidata";"Sclerolaena patenticuspis";2;1;"13-2-Maireana pyramidata-9";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;9;"Maireana pyramidata";"Austrostipa scabra";8;3;"13-2-Maireana pyramidata-9";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;9;"Maireana pyramidata";"Sclerolaena obliquicuspis";1;0,5;"13-2-Maireana pyramidata-9";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;9;"Bare";"Sclerolaena patenticuspis";4;5;"13-2-Bare-9";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;9;"Bare";"Austrostipa scabra";7;1;"13-2-Bare-9";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;9;"Bare";"Enneapogon avenaceus";1;0,5;"13-2-Bare-9";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;10;"Maireana pyramidata";"Austrostipa scabra";2;0,5;"13-2-Maireana pyramidata-10";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;10;"Bare";"Sclerolaena patenticuspis";4;3;"13-2-Bare-10";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;10;"Bare";"Austrostipa scabra";8;1;"13-2-Bare-10";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;11;"Maireana pyramidata";"Austrostipa scabra";1;0,5;"13-2-Maireana pyramidata-11";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;11;"Bare";"Austrostipa scabra";12;1;"13-2-Bare-11";1;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;12;"Maireana pyramidata";"Sclerolaena patenticuspis";3;1;"13-2-Maireana pyramidata-12";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;12;"Maireana pyramidata";"Austrostipa scabra";5;2;"13-2-Maireana pyramidata-12";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;12;"Maireana pyramidata";"Enneapogon avenaceus";2;1;"13-2-Maireana pyramidata-12";2;2;0,9008
41;"Australia";"Eldridge, David";"Fowlers";13;2;12;"Bare";"Sclerolaena obliquicuspis";2;1;"13-2-Bare-12";1;2;0,9008
